Year	ODA/GNI ratio
1961-62	0.36
1962-63	0.39
1963-64	0.41
1964-65	0.41
1965-66	0.44
1966-67	0.46
1967-68	0.48
1968-69	0.46
1969-70	0.46
1970-71	0.44
1971-72	0.45
1972-73	0.44
1973-74	0.44
1974-75	0.47
1975-76	0.43
1976-77	0.40
1977-78	0.41
1978-79	0.40
1979-80	0.38
1980-81	0.37
1981-82	0.38
1982-83	0.40
1983-84	0.44
1984-85	0.44
1985-86	0.40
1986-87	0.35
1987-88	0.32
1988-89	0.33
1989-90	0.30
1990-91	0.32
1991-92	0.33
1992-93	0.32
1993-94	0.31
1994-95	0.31
1995-96	0.31
1996-97	0.27
1997-98	0.25
1998-99	0.25
1999-00	0.27
2000-01	0.24
2001-02	0.24
2002-03	0.24
2003-04	0.24
2004-05	0.25
2005-06	0.27
2006-07	0.28
2007-08	0.27
2008-09	0.31
2009-10	0.30
2010-11	0.31
2011-12	0.33
2012-13	0.32
2013-14	0.32
2014-15	0.32
2015-16	0.26
2016-17	0.23
2017-18 	0.23
2018-19	0.23
2019-20	0.21
2020-21	0.22
2021-22	0.21
2022-23	0.20
2023-24	0.19
2024-25 (est)	0.18
2025-26 (test)	0.70

